objectType,title,category
CCPR,Client Copy Profile,exotic
CCRU,SCC: Check Configuration Rule,exotic
CDAT,View Cluster Maintenance: Data,exotic
CDBO,Customer Data Browser,exotic
CDDH,Packages for Table Entries: Granularity,exotic
CDDL,Default Original Language in Customizing,exotic
CDDO,Default Originality Attributes in Customizing,exotic
CDLH,Original Language for Table Entries: Granularity,exotic
CDOH,Originality for Table Entries: Granularity,exotic
CEBR,BPC: Consolidation business rule for environment,exotic
CELM,Elements of the Query Builder (SAP Delivery),exotic
CFAA,Business Configuration Framework Act. Ada. Cnt. (Obsolete),exotic
CFAR,Business Configuration Framework Activity (Obsolete),exotic
CFBA,Business Configuration Framework Building Block (Obsolete),exotic
CFBB,Business Configuration Framework Building Block (Obsolete),exotic
CFCE,Business Configuration Framework Conf. Entity (Obsolete),exotic
CFCL,Business Configuration Framework Log. Cnt. Layer (Obsolete),exotic
CFCS,Business Configuration Framework Change Set (Obsolete),exotic
CFCX,Business Configuration Framework Context  (Obsolete),exotic
CFD1,Custom fields: IDoc Type Registry,exotic
CFDA,Custom Logic Registration,exotic
CFDB,Custom Fields: Business Context Registry,exotic
CFDC,Custom Fields: CDS View Registry,exotic
CFDD,Business Configuration Framework Dataset  (Obsolete),exotic
CFDE,Data Source Extension,exotic
CFDF,Custom Field,exotic
CFDG,Custom Fields: SAP GUI Registry,exotic
CFDH,Custom Behavior Extension Registration,exotic
CFDI,Business Configuration Framework Dimension (Obsolete),exotic
CFDM,Custom fields: Function Module Registry,exotic
CFDO,Custom Fields: OData Model Registry,exotic
CFDP,Custom fields: SOAP Service Interface Registry,exotic
CFDR,Custom Fields: Association Target,exotic
CFDS,Custom Fields: Business Scenario Registry,exotic
CFDT,Custom Fields: Data Transfer Registry,exotic
CFDX,Custom Fields: Suffix Registry,exotic
CFDY,Custom Fields: Abstract Entity Registry,exotic
CFEX,Business Configuration Framework Expression (Obsolete),exotic
CFIA,Business Configuration Framework Issue Ada. Cnt. (Obsolete),exotic
CFIU,Business Configuration Framework Issue (Obsolete),exotic
CFPK,Business Configuration Framework Solution Package (Obsolete),exotic
CFQF,Business Configuration Framework Qualifier (Obsolete),exotic
CFRA,Business Configuration Framework Record Ada. Cnt. (Obsolete),exotic
CFRK,Business Configuration Framework Record Key (Obsolete),exotic
CFRR,Business Configuration Framework Record (Obsolete),exotic
CFSA,Business Configuration Framework Scope Item Cnt. (Obsolete),exotic
CFSI,Business Configuration Framework Scope Item (Obsolete),exotic
CFSO,Business Configuration Framework Scope Option (Obsolete),exotic
CFSU,Business Configuration Framework SSC UI (Obsolete),exotic
